learning_rule,seed,epochs_executed,initial_validation_loss,best_validation_loss,best_epoch,relative_improvement_pct,stability_variance,stop_reason
qpc,42,300,0.3097579883738591,0.28045461457860826,300,9.460086549853054,"StabilityResult(stability_variance=6.943849850457193e-05, window_means=array([0.33646209, 0.3216922 , 0.32570204, 0.32892887, 0.31124756]), final_segment=array([0.37456366, 0.29639266, 0.33706863, 0.36370977, 0.28313537,
       0.36390246, 0.29954221, 0.44303552, 0.28471785, 0.33043728,
       0.31428113, 0.25813919, 0.26797908, 0.31682804, 0.27299517,
       0.34985237, 0.35302184, 0.39353574, 0.29323771, 0.26678277,
       0.40795255, 0.35273254, 0.27743387, 0.3754338 , 0.29522996,
       0.3272118 , 0.33536107, 0.2762557 , 0.27580588, 0.35762096]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
qpc,43,300,0.5909985805903136,0.5101334003078357,300,13.682804483507635,"StabilityResult(stability_variance=0.007918079754793826, window_means=array([0.53629186, 0.69292832, 0.72211601, 0.75535109, 0.55748714]), final_segment=array([0.45251957, 0.48182211, 0.61635393, 0.6331081 , 0.60592162,
       0.42802585, 0.83470097, 0.65153542, 0.88213393, 0.67698082,
       0.53223966, 0.57997909, 0.73584551, 0.69617902, 0.70142194,
       0.66793665, 0.74871836, 0.7825946 , 0.67668498, 0.9012783 ,
       0.86279247, 0.79176381, 0.7024149 , 0.59717208, 0.51786946,
       0.53920234, 0.77968256, 0.41993079, 0.47177497, 0.61646272]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
qpc,44,300,0.4796871347963805,0.40517112437441205,300,15.534294129776752,"StabilityResult(stability_variance=0.0006289954507246965, window_means=array([0.402861  , 0.42703079, 0.45505465, 0.42559588, 0.38053375]), final_segment=array([0.43789236, 0.35139885, 0.45214658, 0.40644788, 0.35133273,
       0.4179476 , 0.39747222, 0.37827902, 0.45620294, 0.39448305,
       0.50484183, 0.43090567, 0.42074413, 0.42922412, 0.43115079,
       0.45770445, 0.42015925, 0.57134518, 0.37977935, 0.44980841,
       0.42608116, 0.4028197 , 0.46316743, 0.43191923, 0.43091028,
       0.38561646, 0.35327421, 0.30275173, 0.42496964, 0.38568022]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
qpc,45,300,0.4346853654239037,0.4094152109848692,300,5.8134357512567965,"StabilityResult(stability_variance=0.001240984629526686, window_means=array([0.40247004, 0.4369348 , 0.40003221, 0.33837949, 0.35636575]), final_segment=array([0.35277778, 0.44315027, 0.34167236, 0.31629057, 0.43285754,
       0.52807173, 0.31817676, 0.48335983, 0.64916549, 0.49850163,
       0.39822142, 0.27418368, 0.32020915, 0.46742982, 0.42928933,
       0.34000043, 0.39278713, 0.45047739, 0.43267362, 0.25028431,
       0.34048999, 0.33351064, 0.40089306, 0.27242531, 0.33977582,
       0.31924592, 0.44145136, 0.32347349, 0.34435726, 0.36989063]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
qpc,46,300,0.5424696655674627,0.49650373265807196,300,8.47345682662403,"StabilityResult(stability_variance=0.0015234985319556168, window_means=array([0.44968832, 0.56867915, 0.53264144, 0.52415409, 0.53167907]), final_segment=array([0.50595732, 0.39370086, 0.4752751 , 0.39819925, 0.41982417,
       0.50517323, 0.66614623, 0.52757598, 0.52662025, 0.64623408,
       0.51400333, 0.53149505, 0.51959151, 0.48266072, 0.49434938,
       0.5898953 , 0.54974702, 0.55960473, 0.55794246, 0.50770321,
       0.69864317, 0.57208572, 0.44890307, 0.3596469 , 0.57639431,
       0.68550083, 0.63212382, 0.34992381, 0.48050866, 0.465623  ]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
hebbian,42,300,0.3097579883738591,0.2677732398865329,300,13.554048664808976,"StabilityResult(stability_variance=6.997164590389516e-05, window_means=array([0.3081898 , 0.29347813, 0.29630545, 0.29810707, 0.28218048]), final_segment=array([0.34271956, 0.26904602, 0.30838526, 0.33588635, 0.257543  ,
       0.33555861, 0.27632922, 0.40529096, 0.26222956, 0.29541067,
       0.28517156, 0.23643682, 0.24713461, 0.28421157, 0.24935098,
       0.31972116, 0.32059008, 0.35682431, 0.26854839, 0.23947861,
       0.36924172, 0.32320028, 0.2478283 , 0.34034514, 0.26616988,
       0.3001202 , 0.30450485, 0.24629221, 0.24726492, 0.32873085]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
hebbian,43,300,0.5909985805903136,0.4648345733279396,300,21.347599030839675,"StabilityResult(stability_variance=0.005194040469315139, window_means=array([0.46688827, 0.59043274, 0.61792423, 0.63686202, 0.47548942]), final_segment=array([0.3962434 , 0.43463948, 0.53754886, 0.5452345 , 0.51887691,
       0.36878649, 0.71167126, 0.55097812, 0.75225952, 0.57980371,
       0.45780435, 0.49007948, 0.62285014, 0.59628431, 0.59552366,
       0.57070922, 0.65167284, 0.67050524, 0.57696591, 0.75686718,
       0.71832215, 0.6730985 , 0.59015231, 0.50576606, 0.44345138,
       0.46221877, 0.65953969, 0.3582374 , 0.41169423, 0.51779504]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
hebbian,44,300,0.4796871347963805,0.3678016540439131,300,23.324678240528797,"StabilityResult(stability_variance=0.0004701089885386487, window_means=array([0.3421822 , 0.36437725, 0.38624324, 0.36194866, 0.32221787]), final_segment=array([0.3724611 , 0.29758801, 0.38374951, 0.34262509, 0.30072374,
       0.35594575, 0.33671129, 0.32227094, 0.38047535, 0.34109925,
       0.43094932, 0.37475732, 0.35619018, 0.36346751, 0.37051745,
       0.38856164, 0.35130663, 0.48741603, 0.32402564, 0.38120227,
       0.36526734, 0.33744458, 0.39534351, 0.36840861, 0.36217406,
       0.32958535, 0.29964116, 0.25792472, 0.35692258, 0.32705936]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
hebbian,45,300,0.4346853654239037,0.39207281809259453,300,9.80307843806831,"StabilityResult(stability_variance=0.0011370273379524122, window_means=array([0.37483828, 0.40564732, 0.37003455, 0.31204956, 0.32841517]), final_segment=array([0.32822542, 0.41559367, 0.31801006, 0.29611832, 0.40231407,
       0.48876816, 0.29807569, 0.44704997, 0.60515692, 0.46656964,
       0.36729314, 0.24973856, 0.2949131 , 0.43081951, 0.39720423,
       0.3133144 , 0.36286421, 0.42109184, 0.39797918, 0.23104418,
       0.31360581, 0.30928095, 0.37017986, 0.25020735, 0.3150698 ,
       0.29122865, 0.40837689, 0.29554001, 0.31823867, 0.34203701]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
hebbian,46,300,0.5424696655674627,0.46860657281769175,300,13.616077992583191,"StabilityResult(stability_variance=0.001181586499440704, window_means=array([0.40489346, 0.51025603, 0.47774601, 0.47012508, 0.47445731]), final_segment=array([0.45262561, 0.35696476, 0.42807387, 0.36004904, 0.37631401,
       0.4553335 , 0.59860173, 0.4765106 , 0.46385189, 0.58172006,
       0.46593068, 0.47492121, 0.46653141, 0.42892939, 0.44824912,
       0.53403073, 0.49003988, 0.49869556, 0.50305689, 0.45425245,
       0.6284857 , 0.50294198, 0.40703456, 0.32497893, 0.51682393,
       0.61344426, 0.55962628, 0.31574219, 0.43095469, 0.41015251]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
